"PROVRES","TIPPARTO","SEXO","IMEDAD","ITIEMGEST","IMINSTRUC","IPESONAC","CUENTA"
"50","1","2","4.25 a 29","5.32 a 36","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","26"
"78","2","1","2.15 a 19","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","2"
"74","1","2","2.15 a 19","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","250"
"70","1","2","4.25 a 29","5.32 a 36","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","9"
"94","2","2","2.15 a 19","8.Sin especificar","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","2"
"62","2","2","2.15 a 19","3.24 a 27","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","2"
"50","1","2","4.25 a 29","4.28 a 31","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","4"
"22","1","1","3.20 a 24","6.37 a 41","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","7"
"30","2","1","4.25 a 29","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","4"
"74","1","1","5.30 a 34","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","190"
"14","1","2","5.30 a 34","7.42 y más","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","1"
"78","2","2","4.25 a 29","3.24 a 27","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","2"
"10","1","1","1.Menor de 15","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","1"
"06","1","1","9.Sin especificar","5.32 a 36","2.Secundaria/Polimodal Incompleta","3.Sin especificar","2"
"62","1","1","5.30 a 34","8.Sin especificar","4.Sin especificar","3.Sin especificar","2"
"54","2","1","5.30 a 34","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","3"
"66","1","1","7.40 a 44","6.37 a 41","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","22"
"70","1","1","2.15 a 19","3.24 a 27","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","3"
"26","2","1","3.20 a 24","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","2"
"90","1","2","1.Menor de 15","5.32 a 36","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","4"
"74","1","2","3.20 a 24","7.42 y más","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","2"
"54","1","1","3.20 a 24","8.Sin especificar","3.Secundario/Polimodal Completa y más","3.Sin especificar","1"
"62","1","2","2.15 a 19","5.32 a 36","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","2"
"90","1","1","7.40 a 44","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","7"
"90","2","2","6.35 a 39","4.28 a 31","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","2"
"22","2","2","3.20 a 24","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","2"
"14","1","1","2.15 a 19","7.42 y más","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","3"
"06","9","1","4.25 a 29","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","5"
"58","1","2","3.20 a 24","3.24 a 27","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"22","1","2","6.35 a 39","6.37 a 41","4.Sin especificar","1.Menos de 2500 gramos","1"
"62","1","2","5.30 a 34","6.37 a 41","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","159"
"10","2","2","4.25 a 29","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","1"
"02","1","2","1.Menor de 15","6.37 a 41","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","1"
"18","2","1","3.20 a 24","4.28 a 31","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","2"
"18","1","2","5.30 a 34","8.Sin especificar","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","23"
"46","1","2","2.15 a 19","6.37 a 41","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","3"
"54","1","1","4.25 a 29","6.37 a 41","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","1"
"70","1","1","4.25 a 29","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","2"
"82","2","2","3.20 a 24","6.37 a 41","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","14"
"99","1","1","4.25 a 29","6.37 a 41","4.Sin especificar","3.Sin especificar","2"
"46","2","1","9.Sin especificar","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","2"
"94","2","1","4.25 a 29","5.32 a 36","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","2"
"14","1","1","9.Sin especificar","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","52"
"86","1","1","6.35 a 39","6.37 a 41","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","4"
"18","2","1","2.15 a 19","6.37 a 41","4.Sin especificar","2.2500 gramos y más","1"
"06","1","2","4.25 a 29","2.22 a 23","3.Secundario/Polimodal Completa y más","1.Menos de 2500 gramos","4"
"58","1","2","2.15 a 19","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","5"
"66","1","2","4.25 a 29","6.37 a 41","3.Secundario/Polimodal Completa y más","3.Sin especificar","6"
"06","1","1","9.Sin especificar","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","250"
"70","1","2","5.30 a 34","8.Sin especificar","1.Hasta Primaria/C.EGB Completa","3.Sin especificar","6"
"30","2","1","2.15 a 19","6.37 a 41","3.Secundario/Polimodal Completa y más","2.2500 gramos y más","2"
"38","1","1","2.15 a 19","7.42 y más","2.Secundaria/Polimodal Incompleta","2.2500 gramos y más","16"
"02","2","1","3.20 a 24","3.24 a 27","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","2"
"66","2","1","8.De 45 y más","8.Sin especificar","1.Hasta Primaria/C.EGB Completa","2.2500 gramos y más","1"
"90","1","1","5.30 a 34","6.37 a 41","4.Sin especificar","2.2500 gramos y más","9"
"38","2","1","5.30 a 34","6.37 a 41","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","2"
"50","1","2","2.15 a 19","4.28 a 31","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","5"
"22","1","1","6.35 a 39","5.32 a 36","2.Secundaria/Polimodal Incompleta","1.Menos de 2500 gramos","4"
"06","1","2","6.35 a 39","8.Sin especificar","1.Hasta Primaria/C.EGB Completa","1.Menos de 2500 gramos","5"
